Sr.No.,REGION,ZONE,CIRCLE,DIVISION,SUB-DIVISION,BU,SS NO,SS NAME,FED NO,FEEDER NAME,DTC CODE,DTC_NAME,CAPACITY KVA,POLE_NO_FROM_STN,NODE NUMBER,NO_OF_POLES_FR_NODE,METER INSTALLED,METER NUMBER,METER CT RATIO,CONNECTED CT RATIO,METER PT RATIO,CONNECTED PT RATIO,METER WORKING,CURRENT READING,LATITUDE,LONGITUDE,SURVEY DONE BY,UPLOADED ON,NEW DTC,IS IT NODE
1,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,174041,33Kv Bodhdi Substation,205,11 KV SAWRI AG,4556877,towar latabai gambhire,25,206,,,NO,-,,,,,YES,NO METER,20.038962,74.2034176,2189534,13-06-2020 15:25,YES,NO
2,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256417,Bhaguji Sahadu Nagare sarole thadi,100,,,,NO,-,,,,,YES,NO METER,19.9957484,74.1982413,2336081,24-06-2020 14:03,NO,NO
3,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256418,Khedla Road,100,221,,,NO,-,,,,,YES,NO METER,19.9853372,74.2053966,2336081,24-06-2020 14:03,NO,NO
4,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256423,Khardiya Ohal,100,233,,,NO,-,,,,,YES,NO METER,19.995207,74.1981349,2336081,24-06-2020 14:03,NO,NO
5,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184005,33/11 KV DEOGAON,204,KH ZUNGE                      ,4256424,Arjun Bharade,100,235,,,NO,-,,,,,YES,NO METER,19.9935474,74.2056897,2336081,24-06-2020 14:03,NO,NO
6,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,2561082,Lalwani,25,78,12,3,NO,-,,,,,YES,NO METER,20.0729774,74.0118342,2548674,02-06-2020 13:27,NO,YES
7,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,2561084,Parag Suryawanshi 1 ph,25,55,3,13,NO,-,,,,,YES,NO METER,20.0466267,74.0279925,2548674,01-06-2020 14:47,NO,YES
8,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,2563006,RAHANE WASTI 1PH,25,57,10,1,NO,-,,,,,NO,NO METER,20.0607853,74.0246875,2548674,29-12-2020 10:33,NO,YES
9,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256801,ONA ROAD HIGH SCHOOL SUKENE,200,83,13,2,NO,-,,,,,YES,NO METER,20.0598583,73.99898,2548674,02-06-2020 13:55,NO,YES
10,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256802,DESHMUKH MALA SUKENE,100,70,10,1,YES,076-057417,NA,NA,NA,NA,NO,,20.0684465,74.0136704,2548674,02-06-2020 13:11,NO,YES
11,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256803,HANDORE MALA SUKENE,100,84,8,19,YES,076-072553,NA,NA,NA,NA,NO,,20.0545824,74.0162411,2548674,02-06-2020 12:08,NO,YES
12,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256804,GANGA SHANKAR MOGAL,100,33,,,YES,076-056499,NA,NA,NA,NA,NO,,20.0753721,74.0347731,2548674,01-06-2020 13:02,NO,NO
13,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256806,RAHANE MALA,100,57,6,5,NO,-,,,,,YES,NO METER,20.0754405,74.0346023,2548674,02-06-2020 11:26,NO,YES
14,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256807,UGALE DP,100,44,3,7,NO,-,,,,,YES,NO METER,20.0575866,74.0331335,2548674,01-06-2020 13:02,NO,YES
15,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256808,MUKYA DP CHANDORI ROAD,100,76,8,11,YES,076-058191,NA,NA,NA,NA,NO,,20.0704557,73.90273,2548674,02-06-2020 12:08,NO,YES
16,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256809,BALASAHEB BHANDARI,100,53,3,11,NO,-,NA,NA,NA,NA,NO,,20.0577415,74.0332773,2548674,01-06-2020 15:02,NO,YES
17,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256810,SONAWANE DP,63,48,4,11,YES,076-0564000,NA,NA,NA,NA,NO,,20.071254,74.0273574,2548674,02-06-2020 11:26,NO,YES
18,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256811,BALU MOGAL,63,77,8,12,YES,076-058194,NA,NA,NA,NA,NO,,20.0385047,74.0026527,2548674,02-06-2020 12:08,NO,YES
19,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256812,SMASHAN BHUMI,100,93,13,11,YES,076-072554,NA,NA,NA,NA,NO,,20.077845,74.0132835,2548674,02-06-2020 13:58,NO,YES
20,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256813,PIMPPALACHE ZAD VISHWANATH TAKHRE,63,73,9,5,YES,076-072555,NA,NA,NA,NA,NO,,20.0778301,74.0133004,2548674,02-06-2020 13:11,NO,YES
21,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256814,SHAMRAO MOGAL,63,91,8,26,YES,076-058193,NA,NA,NA,NA,NO,,20.0545824,74.0162411,2548674,02-06-2020 12:30,NO,YES
22,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256815,RAMU NANA MOGAL,63,53,3,15,YES,043-3009673,NA,NA,NA,NA,NO,,20.0747785,74.0359185,2548674,01-06-2020 14:48,NO,YES
23,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256827,"SI OF GR NO-06,M.SUKENE",63,64,7,4,NO,-,,,,,YES,NO METER,20.0660736,74.0114669,2548674,02-06-2020 11:26,NO,YES
24,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256828,SI OF GR NO-13 M.SUKENE,63,77,11,2,YES,053-11052394,NA,NA,NA,NA,NO,,20.0778295,74.0133023,2548674,02-06-2020 13:27,NO,YES
25,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256830,Kombad wadi DP,100,44,,,YES,063-04821325,NA,NA,NA,NA,NO,,20.0684465,74.0136704,2548674,01-06-2020 14:46,NO,NO
26,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256832,"Mauli Vasti, M-sukene",100,25,1,0,NO,-,,,,,YES,NO METER,20.0769994,74.0397432,2548674,01-06-2020 11:57,NO,YES
27,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256834,sonawane dp,100,49,3,11,NO,-,,,,,YES,NO METER,20.0715425,74.0276253,2548674,01-06-2020 13:38,NO,YES
28,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256835,Vilas Mogal near gr 2,100,76,11,1,NO,-,,,,,YES,NO METER,20.0778062,74.0128138,2548674,02-06-2020 13:27,NO,YES
29,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,4256846,SI of GR.6,,76,9,2,YES,053-10052434,NA,NA,NA,NA,YES,82420,20.0597562,74.0331335,2114305,04-01-2021 15:46,NO,YES
30,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,201,SUKENE                        ,HE16074,SHRI SHIVAJI YASHWANT HANDORE,16,91,8,26,NO,-,,,,,YES,NO METER,20.0487973,74.0162411,2548674,02-06-2020 12:30,NO,YES
31,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,2561081,shere vasti,63,102,8,0,NO,-,,,,,YES,NO METER,20.0477535,74.0441495,2548674,24-06-2020 15:28,NO,YES
32,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,2563007,SHERE  WASTI,25,101,4,1,NO,-,NA,NA,NA,NA,NO,,20.0503749,74.025422,2548674,19-12-2020 15:41,NO,YES
33,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256458,GR 11 SINGLE PH GAOTHAN GONDEGAON,25,155,13,0,YES,076-056620,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.041889,74.0302874,2638657,13-07-2020 12:00,NO,YES
34,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256473,KENGE DP SUKENE,,21,2,0,NO,-,,,,,YES,NO METER,20.0734852,74.041674,2638657,09-06-2020 12:38,NO,YES
35,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256474,GAOTHAN I SUKENE,,83,4,3,YES,076-056492,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0583775,74.0338679,2638657,09-06-2020 12:40,NO,YES
36,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256477,GUPIT BABA DP SUKENE,,45,2,20,YES,076-056393,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0816646,74.0514457,2638657,09-06-2020 12:38,NO,YES
37,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256486,RAILWAY GATE SUKENE,,41,2,16,YES,076-056392,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0854273,74.0566334,2638657,09-06-2020 12:40,NO,YES
38,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256503,DATE DP SUKENE,100,118,10,0,YES,076-056619,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.048965,74.0338167,2638649,13-07-2020 12:00,NO,YES
39,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256504,GAOTHAN SUKENE,100,154,12,0,YES,076-167034,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0432026,74.0303955,2638649,13-07-2020 12:00,NO,YES
40,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256505,DATE KOKATE SEKENE,100,121,9,3,YES,076-056613,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0499629,74.0374884,2638657,13-07-2020 12:00,NO,YES
41,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256506,KHERWADE LIFT SUKENE,63,167,14,5,NO,-,01-Jan,01-Jan,11KV/110V,11KV/110V,YES,NO METER,20.0373461,74.0295619,2638649,13-07-2020 12:00,NO,YES
42,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256507,DATA LIFT SUKENE,63,156,14,6,YES,076-056618,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.040482,74.0301557,2638649,13-07-2020 12:00,NO,YES
43,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256517,ANNA PATIL,63,126,9,8,YES,076-056616,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0458665,74.0386308,2638657,13-07-2020 12:00,NO,YES
44,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256518,JONDHALE DP Gondegaon,63,168,15,4,NO,-,,,,,YES,NO METER,20.0373493,74.0274592,2638657,13-07-2020 12:00,NO,YES
45,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256520,GHANGHALE DP gondegaon,100,126,9,8,NO,-,,,,,YES,NO METER,20.045886,74.0386211,2638657,13-07-2020 12:00,NO,YES
46,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256532,"Tukaram Tajane pimplas, 26",,32,2,7,YES,043-3009707,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0776587,74.0433957,2638657,09-06-2020 12:38,NO,YES
47,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256544,Jate Patil DP Gondegaon Gr.no.13,63,143,9,9,YES,076-3008807,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0513554,74.0289423,2638649,13-07-2020 12:00,NO,YES
48,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256545,R R Patil DP Gondegaon Gr.No.14,63,175,16,1,YES,065-3008814,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0405914,74.0269681,2638657,13-07-2020 12:00,NO,YES
49,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256546,Ranga billa,,55,2,30,YES,053-10283773,01-Jan,01-Jan,11KV/110V,11KV/110V,YES,482896,20.0825886,74.065078,2638657,09-06-2020 12:40,NO,YES
50,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256561,Water Supply Sukene,25,128,9,10,YES,053-11008513,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0445897,74.0364875,2638649,13-07-2020 12:00,NO,YES
51,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256564,Mothi Devi Tempal,,48,2,23,YES,055-906663,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0802505,74.0518534,2638657,09-06-2020 12:38,NO,YES
52,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256565,Date Vasti,50,175,17,1,YES,055-906530,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0406928,74.0269567,2638657,13-07-2020 12:00,NO,YES
53,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256567,DESHPANDE VASTI,75,150,11,2,YES,076-907131,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0459676,74.0320289,2638649,13-07-2020 12:00,NO,YES
54,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256579,Pangavhane DP,100,128,9,10,NO,-,,,,,YES,NO METER,20.0446779,74.0366176,2638649,13-07-2020 12:00,NO,YES
55,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256805,KONDHA DP,100,111,9,0,YES,076-058195,NA,NA,NA,NA,NO,,20.0693717,74.0657609,2548674,24-06-2020 16:07,NO,YES
56,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256817,RTHI DP SUKENE,63,111,9,0,NO,-,,,,,YES,NO METER,20.0596654,74.0360712,2548674,24-06-2020 16:07,NO,YES
57,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256818,MAHSOBA DP SUKEE,63,102,8,,YES,076-056498,NA,NA,NA,NA,NO,,20.0591684,74.0346023,2548674,24-06-2020 15:28,NO,YES
58,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256825,Shamrao mogal DP,63,142,11,7,YES,053-10038770,NA,NA,NA,NA,YES,772352,19.980257,74.0533289,2548674,24-06-2020 16:22,NO,YES
59,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256829,Rathi mala New DP,100,107,9,3,NO,-,,,,,YES,NO METER,20.0596654,74.0360712,2548674,24-06-2020 16:07,NO,YES
60,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,202,MAMLESHWER                    ,4256833,Gr no-33 raju nikam,63,104,8,0,NO,-,,,,,YES,NO METER,20.0591684,74.0346023,2548674,24-06-2020 16:07,NO,YES
61,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256451,AHERKAR DP,100,85,63,6,YES,076-155488,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0609275,74.0605606,2553449,30-05-2020 12:49,NO,YES
62,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256455,GR 13 SUBHASH PATIL PIMPALAS,,58,54,5,YES,076-155485,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0689111,74.064834,2638657,30-05-2020 12:51,NO,YES
63,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256464,KADLAG DP,100,4,,,NO,-,,,,,YES,NO METER,20.0591017,74.07458,2638665,10-06-2020 16:46,NO,NO
64,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256465,KHAPRE MAMA,100,62,2,,YES,076-167033,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0647253,74.0819344,2638665,10-06-2020 10:22,NO,YES
65,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256467,DONGRE KOTHURE,,177,17,0,YES,076-004838,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0462068,74.0824215,2638665,12-06-2020 13:38,NO,YES
66,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256468,BARVE KAKA,63,920,5,5,NO,-,,,,,YES,NO METER,20.0609299,74.0710605,2264005,10-06-2020 16:50,NO,YES
67,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256483,SIRSATH Pimplas,63,63,62,0,YES,076-167039,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0665538,74.0626269,2638657,30-05-2020 12:51,NO,YES
68,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256492,OLD KURUDGAON ROAD,,176,16,5,YES,076-005179,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0428372,74.0817043,2638665,12-06-2020 13:42,NO,YES
69,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256498,NEW WATER SUPPLY,100,56,3,,NO,-,,,,,YES,NO METER,20.0568108,74.0771858,2264005,10-06-2020 12:08,NO,YES
70,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256539,Bapu Tajane,63,82,78,4,YES,053-11084810,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.06763,74.0586499,2553449,30-05-2020 12:49,NO,YES
71,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256541,Mhasoba Tempal,63,63,63,3,YES,065-3008687,20-May,01-Jan,11KV/110V,11KV/110V,NO,,20.0648246,74.0651004,2638657,30-05-2020 12:51,NO,YES
72,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256542,Kamble DP Gr.No.44,63,750,1,6,YES,043-3008808,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.056105,74.0841598,2264005,10-06-2020 16:26,NO,YES
73,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256553,Bhagwan More,63,62,2,7,YES,043-3008714,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0617229,74.0795718,2264005,10-06-2020 11:59,NO,YES
74,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256555,Keshav Gite,,56,3,0,YES,076-155592,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.056895,74.077085,2638665,10-06-2020 16:46,NO,YES
75,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256563,Balu Mogal gr no.56,63,80,6,0,NO,-,,,,,YES,NO METER,20.0565764,74.0743451,2264005,10-06-2020 16:50,NO,YES
76,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256586,Rajendra Dokhale DP,100,146,8,10,NO,-,,,,,YES,NO METER,20.06893,74.0729983,2638665,09-06-2020 13:41,NO,YES
77,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,4256589,Omkar Mogal DP,100,71,1,2,NO,-,,,,,YES,NO METER,20.0497762,74.0812082,2264005,10-06-2020 16:26,NO,YES
78,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,203,KURADGAON                     ,HC16384,PANDURANG DAGU DONGARE,10,177,17,10,YES,082-30009005,NA,NA,NA,NA,YES,468,20.0418753,74.0861008,2638606,03-07-2020 11:32,NO,YES
79,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,205,TARUKHEDELE                   ,4256462,Gal Pera DP,100,92,12,5,YES,076-00000,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0331539,74.0707341,2264005,01-06-2020 09:25,NO,YES
80,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,205,TARUKHEDELE                   ,4256469,SHIWAJI MOGAL,100,100,,,YES,076-000000,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.04608,74.0609683,2638665,24-12-2020 13:45,NO,NO
81,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,205,TARUKHEDELE                   ,4256496,KURNE HILL,100,100,3,2,YES,076-00000,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0488183,74.061615,2638665,24-12-2020 13:45,NO,YES
82,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,205,TARUKHEDELE                   ,4256500,COLLEACHVE,100,103,14,6,YES,076-165253,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0285862,74.0781703,2264005,01-06-2020 09:25,NO,YES
83,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,205,TARUKHEDELE                   ,4256512,DAGLE,63,100,,,NO,-,,,,,NO,,20.0285919,74.0782435,2638665,28-12-2020 13:49,NO,NO
84,KOKAN REGION,NASIK ZONE,NASHIK CIRCLE,CHANDWAD DIVISION,NIPHAD,5428,184028,PIMPALAS,205,TARUKHEDELE                   ,4256516,PEKHALE DP,100,40,5,1,YES,076-143578,01-Jan,01-Jan,11KV/110V,11KV/110V,NO,,20.0152186,74.0742938,2638657,30-05-2020 12:51,NO,YES
